doi,oa_type,is_oa,title,published_date,published_year,genre,journal_is_in_doaj,journal_issns,journal_name,publisher,repositories,scientific_field
10.1140/epjc/s10052-019-6904-3,publisher;repository,True,FCC Physics Opportunities,2019-06-01,2019.0,journal-article,True,"1434-6044,1434-6052",The European Physical Journal C,Springer Science and Business Media LLC,acikerisim.isikun.edu.tr;air.unimi.it;air.uniud.it;archive-ouverte.unige.ch;arpi.unipi.it;art.torvergata.it;bib-pubdb1.desy.de;boa.unimib.it;cds.cern.ch;cris.unibo.it;curis.ku.dk;digibug.ugr.es;digital.csic.es;dspace.mit.edu;eprints.gla.ac.uk;fulir.irb.hr;infoscience.epfl.ch;iris.unife.it;iris.unige.it;jyx.jyu.fi;kuscholarworks.ku.edu;mediatum.ub.tum.de;pure-oai.bham.ac.uk;research.birmingham.ac.uk;ruj.uj.edu.pl;upcommons.upc.edu;uu.diva-portal.org;www.dora.lib4ri.ch;www.osti.gov;www.um.edu.mt,"Earth, Ecology, 
Energy and applied biology"
10.1029/2018jc014803,repository,True,Air‐Sea Turbulent Fluxes From a Wave‐Following Platform During Six Experiments at Sea,2019-06-01,2019.0,journal-article,False,"2169-9275,2169-9291",Journal of Geophysical Research: Oceans,American Geophysical Union (AGU),HAL;archimer.ifremer.fr,"Earth, Ecology, 
Energy and applied biology"
10.1029/2018jc014392,repository,True,Vertical Motions and Their Effects on a Biogeochemical Tracer in a Cyclonic Structure Finely Observed in the Ligurian Sea,2019-06-01,2019.0,journal-article,False,"2169-9275,2169-9291",Journal of Geophysical Research: Oceans,American Geophysical Union (AGU),HAL;archimer.ifremer.fr;dipot.ulb.ac.be,"Earth, Ecology, 
Energy and applied biology"
10.3390/act8020039,publisher;repository,True,Modeling and Optimization of an Indirect Coil Gun for Launching Non-Magnetic Projectiles,2019-05-07,2019.0,journal-article,True,2076-0825,Actuators,MDPI AG,pdfs.semanticscholar.org,"Physical sciences, Astronomy"
10.1016/j.crma.2019.05.008,publisher;repository,True,Generic singularities of the 3D-contact sub-Riemannian conjugate locus,2019-06-01,2019.0,journal-article,False,1631-073X,Comptes Rendus Mathematique,Elsevier BV,HAL;arxiv.org;www.research.unipd.it,Mathematics
10.1111/saje.12217,publisher;repository,True,The counting approach to multidimensional poverty. The case of four African countries,2019-05-02,2019.0,journal-article,False,"0038-2280,1813-6982",South African Journal of Economics,Wiley,www.econstor.eu,Social sciences
10.1016/j.jece.2019.103075,closed,False,"Preparation, characterization and photocatalytic degradation of Rhodamine B dye over a novel Zn3(PO4)2/BiPO4 catalyst",2019-06-01,2019.0,journal-article,False,2213-3437,Journal of Environmental Chemical Engineering,Elsevier BV,,"Earth, Ecology, 
Energy and applied biology"
10.1088/1475-7516/2019/06/020,repository,True,Optimising growth of structure constraints on modified gravity,2019-06-10,2019.0,journal-article,False,1475-7516,Journal of Cosmology and Astroparticle Physics,IOP Publishing,arxiv.org;researchportal.port.ac.uk,"Physical sciences, Astronomy"
10.1007/s00300-019-02480-w,repository,True,Underwater photogrammetry in Antarctica: long-term observations in benthic ecosystems and legacy data rescue,2019-04-25,2019.0,journal-article,False,"0722-4060,1432-2056",Polar Biology,Springer Science and Business Media LLC,www.int-arch-photogramm-remote-sens-spatial-inf-sci.net,Biology (fond.)
10.1016/j.actamat.2019.04.010,repository,True,Random angle grain boundary formation and evolution dynamics during Si directional solidification,2019-06-01,2019.0,journal-article,False,1359-6454,Acta Materialia,Elsevier BV,HAL,Engineering
10.1007/s10708-018-9878-z,closed,False,"Tourism development, energy consumption and environmental quality in Tunisia, Egypt and Morocco: a trivariate analysis",2018-04-25,2018.0,journal-article,False,"0343-2521,1572-9893",GeoJournal,Springer Science and Business Media LLC,,Engineering
10.1016/j.polymdegradstab.2019.04.002,closed,False,Thermal degradation of hydroxyalkylated poly(dimethylsiloxane)s and poly(dimethylsiloxane)-poly(trialkylsilyl methacrylate) based block copolymers synthesized by RAFT polymerization,2019-06-01,2019.0,journal-article,False,0141-3910,Polymer Degradation and Stability,Elsevier BV,,Chemistry
10.1007/s00023-019-00787-2,repository,True,Resolvent Convergence to Dirac Operators on Planar Domains,2019-03-19,2019.0,journal-article,False,"1424-0637,1424-0661",Annales Henri Poincaré,Springer Science and Business Media LLC,arxiv.org,"Physical sciences, Astronomy"
10.1007/s00245-017-9455-8,closed,False,Sensitivity of the Compliance and of the Wasserstein Distance with Respect to a Varying Source,2017-11-11,2017.0,journal-article,False,"0095-4616,1432-0606",Applied Mathematics & Optimization,Springer Science and Business Media LLC,,Mathematics
10.1007/s12668-019-0603-2,closed,False,Design of Reconfigurable Inductorless RF VCO in 130 nm CMOS,2019-03-15,2019.0,journal-article,False,"2191-1630,2191-1649",BioNanoScience,Springer Science and Business Media LLC,,Biology (fond.)
10.1007/s11571-019-09523-2,repository,True,Mental fatigue level detection based on event related and visual evoked potentials features fusion in virtual indoor environment,2019-01-29,2019.0,journal-article,False,"1871-4080,1871-4099",Cognitive Neurodynamics,Springer Science and Business Media LLC,europepmc.org;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1016/j.ecolmodel.2019.03.005,publisher;repository,True,"Implementation of an end-to-end model of the Gulf of Lions ecosystem (NW Mediterranean Sea). I. Parameterization, calibration and evaluation",2019-06-01,2019.0,journal-article,False,0304-3800,Ecological Modelling,Elsevier BV,HAL;archimer.ifremer.fr,Biology (fond.)
10.1007/s41965-019-00011-4,repository,True,Characterizing PSPACE with shallow non-confluent P systems,2019-04-12,2019.0,journal-article,False,"2523-8906,2523-8914",Journal of Membrane Computing,Springer Science and Business Media LLC,arxiv.org;boa.unimib.it;idus.us.es,"Computer and 
 information sciences"
10.1007/s10623-018-0521-2,closed,False,The extension theorem for Lee and Euclidean weight codes over integer residue rings,2018-07-24,2018.0,journal-article,False,"0925-1022,1573-7586","Designs, Codes and Cryptography",Springer Science and Business Media LLC,,"Computer and 
 information sciences"
10.1111/psyp.13343,closed,False,Influence of cognitive load on the dynamics of neurophysiological adjustments during fatiguing exercise,2019-02-07,2019.0,journal-article,False,"0048-5772,1469-8986",Psychophysiology,Wiley,,Biology (fond.)
10.1016/j.ins.2019.02.023,repository,True,On the dynamical behaviour of linear higher-order cellular automata and its decidability,2019-06-01,2019.0,journal-article,False,0020-0255,Information Sciences,Elsevier BV,arts.units.it;arxiv.org,"Computer and 
 information sciences"
10.1016/j.jmaa.2019.01.035,publisher;repository,True,Carleman estimate for the Schrödinger equation and application to magnetic inverse problems,2019-06-01,2019.0,journal-article,False,0022-247X,Journal of Mathematical Analysis and Applications,Elsevier BV,arxiv.org,Mathematics
10.1103/physrevd.99.104064,publisher;repository,True,Octahedron of complex null rays and conformal symmetry breaking,2019-05-28,2019.0,journal-article,False,"2470-0010,2470-0029",Physical Review D,American Physical Society (APS),arxiv.org;helda.helsinki.fi,"Physical sciences, Astronomy"
10.3389/fmars.2019.00164,publisher;repository,True,The Global High Frequency Radar Network,2019-05-14,2019.0,journal-article,True,2296-7745,Frontiers in Marine Science,Frontiers Media SA,HAL;eprints.whiterose.ac.uk,Biology (fond.)
10.1016/j.physletb.2019.03.015,publisher;repository,True,On the possibility of laboratory evidence for quantum superposition of geometries,2019-05-01,2019.0,journal-article,True,0370-2693,Physics Letters B,Elsevier BV,arxiv.org,"Physical sciences, Astronomy"
10.3390/min9050318,publisher,True,Phosphate Mine Tailing Recycling in Membrane Filter Manufacturing: Microstructure and Filtration Suitability,2019-05-24,2019.0,journal-article,True,2075-163X,Minerals,MDPI AG,,"Earth, Ecology, 
Energy and applied biology"
10.1002/adom.201801406,repository,True,Multifunctional Metasurfaces Based on Direct Nanoimprint of Titania Sol–Gel Coatings,2019-03-13,2019.0,journal-article,False,"2195-1071,2195-1071",Advanced Optical Materials,Wiley,HAL,"Physical sciences, Astronomy"
10.1021/acsomega.9b00164,publisher;repository,True,Interdisciplinary Round-Robin Test on Molecular Spectroscopy of the U(VI) Acetate System,2019-05-03,2019.0,journal-article,True,"2470-1343,2470-1343",ACS Omega,American Chemical Society (ACS),HAL;europepmc.org;mediatum.ub.tum.de;www.ncbi.nlm.nih.gov,Chemistry
10.1016/j.rse.2019.03.011,publisher,True,Corrigendum to “Toward science-oriented validations of coastal altimetry: Application to the Ligurian Sea” [Remote Sens. Environ. 224 (2019) 275–288],2019-05-01,2019.0,journal-article,False,0034-4257,Remote Sensing of Environment,Elsevier BV,,"Earth, Ecology, 
Energy and applied biology"
10.2478/jcbtp-2019-0014,publisher;repository,True,Forecasting CEMAC’s foreign exchange reserves in presence of unanticipated changes in oil prices: an interrupted time series modelling,2019-05-01,2019.0,journal-article,True,2336-9205,Journal of Central Banking Theory and Practice,Walter de Gruyter GmbH,www.cbcg.me;www.econstor.eu,Humanities
10.1016/j.syapm.2019.02.005,publisher,True,Corrigendum to “Burkholderia novacaledonica sp. nov. and B. ultramafica sp. nov. isolated from roots of Costularia spp. pioneer plants of ultramafic soils in New Caledonia” [Syst. Appl. Microbiol. 39 (2016) 151–159],2019-05-01,2019.0,journal-article,False,0723-2020,Systematic and Applied Microbiology,Elsevier BV,,Biology (fond.)
10.3389/fphys.2019.00528,publisher;repository,True,Impaired Muscular Fat Metabolism in Juvenile Idiopathic Arthritis in Inactive Disease,2019-05-01,2019.0,journal-article,True,1664-042X,Frontiers in Physiology,Frontiers Media SA,HAL;europepmc.org;www.ncbi.nlm.nih.gov,Medical research
10.1016/j.jssc.2019.02.039,publisher;repository,True,"Synthesis, crystallographic structure and thermodynamic properties of T2-Al2MgC2",2019-05-01,2019.0,journal-article,False,0022-4596,Journal of Solid State Chemistry,Elsevier BV,HAL,"Physical sciences, Astronomy"
10.1007/s10623-019-00631-y,publisher,True,Obituary of Jacques Wolfmann (1932–2018),2019-03-30,2019.0,journal-article,False,"0925-1022,1573-7586","Designs, Codes and Cryptography",Springer Science and Business Media LLC,,Social sciences
10.1007/s10750-019-3914-y,repository,True,Influence of hydrodynamic connectivity on the genetic structure and gene flow of the common pandora Pagellus erythrinus,2019-02-20,2019.0,journal-article,False,"0018-8158,1573-5117",Hydrobiologia,Springer Science and Business Media LLC,HAL,Biology (fond.)
10.1016/j.renene.2018.09.077,publisher;repository,True,Fault diagnosis for fuel cell systems: A data-driven approach using high-precise voltage sensors,2019-05-01,2019.0,journal-article,False,0960-1481,Renewable Energy,Elsevier BV,HAL,"Earth, Ecology, 
Energy and applied biology"
10.1098/rstb.2018.0033,publisher;repository,True,Brain activity during reciprocal social interaction investigated using conversational robots as control condition,2019-03-11,2019.0,journal-article,False,"0962-8436,1471-2970",Philosophical Transactions of the Royal Society B: Biological Sciences,The Royal Society,HAL;europepmc.org;www.ncbi.nlm.nih.gov,Biology (fond.)
10.3389/fmars.2019.00196,publisher;repository,True,Globally Consistent Quantitative Observations of Planktonic Ecosystems,2019-04-25,2019.0,journal-article,True,2296-7745,Frontiers in Marine Science,Frontiers Media SA,HAL;archimer.ifremer.fr;darchive.mblwhoilibrary.org;eprints.soton.ac.uk;eprints.utas.edu.au;escholarship.org;nora.nerc.ac.uk;oceanrep.geomar.de;www.research-collection.ethz.ch,Biology (fond.)
10.1103/physrevd.99.084040,publisher;repository,True,Asymptotic analysis of spin foam amplitude with timelike triangles,2019-04-24,2019.0,journal-article,False,"2470-0010,2470-0029",Physical Review D,American Physical Society (APS),arxiv.org,"Physical sciences, Astronomy"
10.5194/bg-16-1673-2019,publisher;repository,True,Introduction: OUTPACE – Oligotrophy to Ultraoligotrophy PACific Experiment,2019-04-24,2019.0,journal-article,True,1726-4189,Biogeosciences,Copernicus GmbH,archimer.ifremer.fr;pdfs.semanticscholar.org,"Earth, Ecology, 
Energy and applied biology"
10.1080/00207543.2018.1522006,repository,True,Multi-objective sustainable process plan generation in a reconfigurable manufacturing environment: exact and adapted evolutionary approaches,2018-09-20,2018.0,journal-article,False,"0020-7543,1366-588X",International Journal of Production Research,Informa UK Limited,HAL,"Computer and 
 information sciences"
10.1364/oe.27.00a319,publisher;repository,True,Analysis and quantification of seabed adjacency effects in the subsurface upward radiance in shallow waters,2019-03-18,2019.0,journal-article,True,1094-4087,Optics Express,The Optical Society,HAL,"Earth, Ecology, 
Energy and applied biology"
10.1103/physrevb.99.144411,repository,True,Microscopic theory of spin transport at the interface between a superconductor and a ferromagnetic insulator,2019-04-15,2019.0,journal-article,False,"2469-9950,2469-9969",Physical Review B,American Physical Society (APS),HAL;arxiv.org,"Physical sciences, Astronomy"
10.1002/rcm.8404,repository,True,Unexpected peaks in electron ionisation mass spectra of trimethylsilyl derivatives resulting from the presence of trace amounts of water and oxygen in gas chromatography/quadrupole time-of-flight systems,2019-03-12,2019.0,journal-article,False,0951-4198,Rapid Communications in Mass Spectrometry,Wiley,HAL,Chemistry
10.1016/j.scitotenv.2019.01.152,publisher;repository,True,"Importance of the vegetation-groundwater-stream continuum to understand transformation of biogenic carbon in aquatic systems – A case study based on a pine-maize comparison in a lowland sandy watershed (Landes de Gascogne, SW France)",2019-04-01,2019.0,journal-article,False,0048-9697,Science of The Total Environment,Elsevier BV,orbi.uliege.be,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.amc.2018.10.089,repository,True,Chaos in a predator–prey-based mathematical model for illicit drug consumption,2019-04-01,2019.0,journal-article,False,0096-3003,Applied Mathematics and Computation,Elsevier BV,HAL;arxiv.org,"Physical sciences, Astronomy"
10.1021/acs.chemrev.8b00601,publisher;repository,True,Controlling a Chemical Coupling Reaction on a Surface: Tools and Strategies for On-Surface Synthesis,2019-03-15,2019.0,journal-article,False,"0009-2665,1520-6890",Chemical Reviews,American Chemical Society (ACS),HAL;europepmc.org;www.ncbi.nlm.nih.gov,Chemistry
10.1021/jacs.9b00150,closed,False,Triangular Regulation of Cucurbit[8]uril 1:1 Complexes,2019-02-26,2019.0,journal-article,False,"0002-7863,1520-5126",Journal of the American Chemical Society,American Chemical Society (ACS),,Chemistry
10.3389/fmars.2019.00185,publisher;repository,True,"Biogeochemical Impacts of a Black Carbon Wet Deposition Event in Halong Bay, Vietnam",2019-04-09,2019.0,journal-article,True,2296-7745,Frontiers in Marine Science,Frontiers Media SA,HAL,Biology (fond.)
10.3389/fmicb.2019.00453,publisher;repository,True,Pressure-Retaining Sampler and High-Pressure Systems to Study Deep-Sea Microbes Under in situ Conditions,2019-04-09,2019.0,journal-article,True,1664-302X,Frontiers in Microbiology,Frontiers Media SA,HAL;archimer.ifremer.fr;europepmc.org;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1016/j.ecss.2019.01.006,repository,True,"Synthesis review of the Gulf of Gabes (eastern Mediterranean Sea, Tunisia): Morphological, climatic, physical oceanographic, biogeochemical and fisheries features",2019-04-01,2019.0,journal-article,False,0272-7714,"Estuarine, Coastal and Shelf Science",Elsevier BV,HAL,Biology (fond.)
10.1073/pnas.1815436116,publisher;repository,True,A minimal-length approach unifies rigidity in underconstrained materials,2019-03-20,2019.0,journal-article,False,"0027-8424,1091-6490",Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,HAL;arxiv.org;europepmc.org;repository.tudelft.nl;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1093/fs/knz045,closed,False,"Edgar Quinet, une conscience européenne. Dirigé par Sophie Guermès et Brigitte Krulic",2019-02-08,2019.0,journal-article,False,"0016-1128,1468-2931",French Studies,Oxford University Press (OUP),,Humanities
10.3390/v11040312,publisher;repository,True,Discovery and Further Studies on Giant Viruses at the IHU Mediterranee Infection That Modified the Perception of the Virosphere,2019-03-30,2019.0,journal-article,True,1999-4915,Viruses,MDPI AG,HAL;europepmc.org;pdfs.semanticscholar.org;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1021/acsanm.9b00036,repository,True,Large Scale Self-Organization of 2D Hexagonal Ge and Au Nanodots on Patterned TiO2 for Optoelectronic Applications,2019-03-26,2019.0,journal-article,False,"2574-0970,2574-0970",ACS Applied Nano Materials,American Chemical Society (ACS),HAL,"Earth, Ecology, 
Energy and applied biology"
10.1002/jhet.3512,closed,False,Synthesis of Lamellarin Q Analogues as Potential Antibiofilm Compounds,2019-02-07,2019.0,journal-article,False,"0022-152X,1943-5193",Journal of Heterocyclic Chemistry,Wiley,,Chemistry
10.1111/pirs.12374,repository,True,The determinants of elderly migration in France,2018-05-09,2018.0,journal-article,False,"1056-8190,1435-5957",Papers in Regional Science,Wiley,HAL;basepub.dauphine.psl.eu,Social sciences
10.1109/tgrs.2018.2872080,repository,True,Marine Oil Slicks Quantification From L-band Dual-Polarization SAR Imagery,2019-04-01,2019.0,journal-article,False,"0196-2892,1558-0644",IEEE Transactions on Geoscience and Remote Sensing,Institute of Electrical and Electronics Engineers (IEEE),HAL,"Earth, Ecology, 
Energy and applied biology"
10.1111/jai.13831,repository,True,Length–weight relationship of thirteen demersal fishes from the tropical Brazilian continental shelf,2018-10-27,2018.0,journal-article,False,"0175-8659,1439-0426",Journal of Applied Ichthyology,Wiley,HAL;archimer.ifremer.fr,Biology (fond.)
10.1007/s00706-018-2345-1,closed,False,"Modular syntheses of 1,4,5-trisubstituted 1,2,3-triazoles by a one-pot three-step procedure: toward bio-inspired monomers",2019-01-29,2019.0,journal-article,False,"0026-9247,1434-4475",Monatshefte für Chemie - Chemical Monthly,Springer Science and Business Media LLC,,Chemistry
10.1016/j.rse.2019.01.028,repository,True,Toward science-oriented validations of coastal altimetry: Application to the Ligurian Sea,2019-04-01,2019.0,journal-article,False,0034-4257,Remote Sensing of Environment,Elsevier BV,HAL;archimer.ifremer.fr,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.scispo.2019.01.001,publisher,True,Comparaison de trois programmes de musculation chez des joueurs de squash de haut niveau,2019-04-01,2019.0,journal-article,False,0765-1597,Science & Sports,Elsevier BV,,Medical research
10.1111/lam.13150,publisher,True,"Towards eco‐friendly biocides: preparation, antibiofilm activity of hemibastadin analogues",2019-03-21,2019.0,journal-article,False,"0266-8254,1472-765X",Letters in Applied Microbiology,Wiley,,Biology (fond.)
10.1088/1361-6641/ab07d2,closed,False,Gate length effect on trapping properties in AlGaN/GaN high-electron-mobility transistors,2019-03-15,2019.0,journal-article,False,"0268-1242,1361-6641",Semiconductor Science and Technology,IOP Publishing,,"Physical sciences, Astronomy"
10.1007/s00033-019-1098-y,repository,True,Large deformations of Timoshenko and Euler beams under distributed load,2019-03-04,2019.0,journal-article,False,"0044-2275,1420-9039",Zeitschrift für angewandte Mathematik und Physik,Springer Science and Business Media LLC,HAL,"Physical sciences, Astronomy"
10.1007/s00033-019-1090-6,repository,True,Spectral analysis of sheared nanoribbons,2019-02-20,2019.0,journal-article,False,"0044-2275,1420-9039",Zeitschrift für angewandte Mathematik und Physik,Springer Science and Business Media LLC,arxiv.org,"Physical sciences, Astronomy"
10.1186/s40645-019-0274-1,publisher,True,Atmospheric structures in the troposphere as revealed by high-resolution backscatter images from MU radar operating in range-imaging mode,2019-03-29,2019.0,journal-article,True,2197-4284,Progress in Earth and Planetary Science,Springer Science and Business Media LLC,,"Earth, Ecology, 
Energy and applied biology"
10.1029/2018jd029479,closed,False,Midlevel Cloud‐Base Turbulence: Radar Observations and Models,2019-03-23,2019.0,journal-article,False,"2169-897X,2169-8996",Journal of Geophysical Research: Atmospheres,American Geophysical Union (AGU),,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.marchem.2019.02.004,repository,True,Abiotic degradation of highly branched isoprenoid alkenes and other lipids in the water column off East Antarctica,2019-03-01,2019.0,journal-article,False,0304-4203,Marine Chemistry,Elsevier BV,pearl.plymouth.ac.uk,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.marchem.2019.03.003,publisher;repository,True,Primary production in coastal lagoons supported by groundwater discharge and porewater fluxes inferred from nitrogen and carbon isotope signatures,2019-03-01,2019.0,journal-article,False,0304-4203,Marine Chemistry,Elsevier BV,HAL,"Earth, Ecology, 
Energy and applied biology"
10.3389/fmars.2019.00110,publisher;repository,True,A Glider-Compatible Optical Sensor for the Detection of Polycyclic Aromatic Hydrocarbons in the Marine Environment,2019-03-18,2019.0,journal-article,True,2296-7745,Frontiers in Marine Science,Frontiers Media SA,HAL,Biology (fond.)
10.1051/alr/2019005,repository,True,Mugilids fisheries of Tunisian coasts and lagoons,2019-01-01,2019.0,journal-article,False,1765-2952,Aquatic Living Resources,EDP Sciences,HAL,Biology (fond.)
10.1103/physreva.99.032110,repository,True,Discrete-time quantum walks as fermions of lattice gauge theory,2019-03-14,2019.0,journal-article,False,"2469-9926,2469-9934",Physical Review A,American Physical Society (APS),arxiv.org;digital.csic.es;espace.library.uq.edu.au,"Physical sciences, Astronomy"
10.5194/bg-16-999-2019,publisher;repository,True,Evidence of high N&lt;sub&gt;2&lt;/sub&gt; fixation rates in the temperate northeast Atlantic,2019-03-13,2019.0,journal-article,True,1726-4189,Biogeosciences,Copernicus GmbH,HAL;archimer.ifremer.fr;dipot.ulb.ac.be;pdfs.semanticscholar.org,"Earth, Ecology, 
Energy and applied biology"
10.5194/os-15-269-2019,publisher;repository,True,Synergy between in situ and altimetry data to observe and study Northern Current variations (NW Mediterranean Sea),2019-03-13,2019.0,journal-article,True,1812-0792,Ocean Science,Copernicus GmbH,HAL;pdfs.semanticscholar.org,"Earth, Ecology, 
Energy and applied biology"
10.1371/journal.pone.0213026,publisher;repository,True,Testing the ego-depletion effect in optimized conditions,2019-03-07,2019.0,journal-article,True,1932-6203,PLOS ONE,Public Library of Science (PLoS),europepmc.org;pdfs.semanticscholar.org;ruj.uj.edu.pl;www.ncbi.nlm.nih.gov,Medical research
10.1088/1361-6382/aafec7,repository,True,Volume entropy,2019-02-13,2019.0,journal-article,False,"0264-9381,1361-6382",Classical and Quantum Gravity,IOP Publishing,HAL,"Physical sciences, Astronomy"
10.1016/j.ecss.2019.01.012,publisher;repository,True,Spatio-temporal variability in benthic exchanges at the sediment-water interface of a shallow tropical coastal lagoon (south coast of Gulf of Mexico),2019-03-01,2019.0,journal-article,False,0272-7714,"Estuarine, Coastal and Shelf Science",Elsevier BV,HAL,"Earth, Ecology, 
Energy and applied biology"
10.1073/pnas.1900357116,publisher;repository,True,Opinion: Why science needs philosophy,2019-03-05,2019.0,journal-article,False,"0027-8424,1091-6490",Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,HAL;europepmc.org;philsci-archive.pitt.edu;www.ncbi.nlm.nih.gov,Humanities
10.1016/j.jde.2018.08.049,publisher,True,Compressible Navier–Stokes system with hard sphere pressure law and general inflow–outflow boundary conditions,2019-03-01,2019.0,journal-article,False,0022-0396,Journal of Differential Equations,Elsevier BV,,Mathematics
10.1038/s41467-019-08844-4,publisher;repository,True,"Microbial abundance, activity and population genomic profiling with mOTUs2",2019-03-04,2019.0,journal-article,True,2041-1723,Nature Communications,Springer Science and Business Media LLC,HAL;edoc.mdc-berlin.de;europepmc.org;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1098/rspa.2018.0781,publisher;repository,True,On the forces that cable webs under tension can support and how to design cable webs to channel stresses,2019-03-01,2019.0,journal-article,False,"1364-5021,1471-2946","Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",The Royal Society,HAL;arxiv.org;europepmc.org;www.ncbi.nlm.nih.gov,"Physical sciences, Astronomy"
10.17743/jaes.2019.0002,repository,True,Detection of Genuine Lossless Audio Files: Application to the MPEG-AAC Codec,2019-02-27,2019.0,journal-article,False,1549-4950,Journal of the Audio Engineering Society,Audio Engineering Society,HAL,"Physical sciences, Astronomy"
10.1029/2018gb006022,publisher;repository,True,Community‐Level Responses to Iron Availability in Open Ocean Plankton Ecosystems,2019-03-01,2019.0,journal-article,False,"0886-6236,1944-9224",Global Biogeochemical Cycles,American Geophysical Union (AGU),HAL;archimer.ifremer.fr;digital.csic.es;lirias.kuleuven.be;repository.kaust.edu.sa,"Computer and 
 information sciences"
10.1016/j.marenvres.2019.02.018,publisher;repository,True,Functional traits unravel temporal changes in fish biomass production on artificial reefs,2019-03-01,2019.0,journal-article,False,0141-1136,Marine Environmental Research,Elsevier BV,HAL;archimer.ifremer.fr,Biology (fond.)
10.14814/phy2.14033,publisher;repository,True,Physiological stress markers during breath‐hold diving and SCUBA diving,2019-03-01,2019.0,journal-article,True,"2051-817X,2051-817X",Physiological Reports,Wiley,HAL;europepmc.org;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1007/s00138-018-0989-9,closed,False,Hierarchical Gaussian descriptor based on local pooling for action recognition,2018-11-12,2018.0,journal-article,False,"0932-8092,1432-1769",Machine Vision and Applications,Springer Science and Business Media LLC,,"Computer and 
 information sciences"
10.1140/epjb/e2019-90461-y,repository,True,Unified scattering approach to Josephson current and thermal noise in BCS and topological superconducting junctions,2019-03-01,2019.0,journal-article,False,"1434-6028,1434-6036",The European Physical Journal B,Springer Science and Business Media LLC,HAL;arxiv.org,"Physical sciences, Astronomy"
10.1107/s160057751900078x,publisher;repository,True,The Nanodiffraction beamline ID01/ESRF: a microscope for imaging strain and structure,2019-02-22,2019.0,journal-article,False,1600-5775,Journal of Synchrotron Radiation,International Union of Crystallography (IUCr),europepmc.org;www.ncbi.nlm.nih.gov,"Physical sciences, Astronomy"
10.1128/aem.02494-18,repository,True,"Diversity, Dynamics, and Distribution of Bdellovibrio and Like Organisms in Perialpine Lakes",2019-03-15,2019.0,journal-article,False,"0099-2240,1098-5336",Applied and Environmental Microbiology,American Society for Microbiology,europepmc.org;www.ncbi.nlm.nih.gov,Medical research
10.1007/s12193-018-0289-8,repository,True,Training doctors’ social skills to break bad news: evaluation of the impact of virtual environment displays on the sense of presence,2019-01-04,2019.0,journal-article,False,"1783-7677,1783-8738",Journal on Multimodal User Interfaces,Springer Science and Business Media LLC,HAL,Biology (fond.)
10.1016/j.actamat.2018.12.048,repository,True,Controlling dislocation nucleation-mediated plasticity in nanostructures via surface modification,2019-03-01,2019.0,journal-article,False,1359-6454,Acta Materialia,Elsevier BV,HAL,Engineering
10.1016/j.commatsci.2018.12.015,repository,True,Simulation of grain evolution in solidification of silicon on meso-scopic scale,2019-03-01,2019.0,journal-article,False,0927-0256,Computational Materials Science,Elsevier BV,HAL,"Physical sciences, Astronomy"
10.1016/j.progsolidstchem.2018.10.001,repository,True,The complex nonstoichiometry of wüstite Fe1-O: Review and comments,2019-03-01,2019.0,journal-article,False,0079-6786,Progress in Solid State Chemistry,Elsevier BV,HAL,Engineering
10.1016/j.jpaa.2018.05.006,closed,False,The extension theorem for the Lee and Euclidean weights over Z/pkZ,2019-03-01,2019.0,journal-article,False,0022-4049,Journal of Pure and Applied Algebra,Elsevier BV,,Mathematics
10.1038/s41598-019-40059-x,publisher;repository,True,Quantum walk hydrodynamics,2019-02-27,2019.0,journal-article,True,2045-2322,Scientific Reports,Springer Science and Business Media LLC,HAL;arxiv.org;digital.csic.es;europepmc.org;www.ncbi.nlm.nih.gov,"Physical sciences, Astronomy"
10.3389/fmicb.2019.00257,publisher;repository,True,Changes in Bacterioplankton Communities Resulting From Direct and Indirect Interactions With Trace Metal Gradients in an Urbanized Marine Coastal Area,2019-02-22,2019.0,journal-article,True,1664-302X,Frontiers in Microbiology,Frontiers Media SA,HAL;europepmc.org;fulir.irb.hr;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1016/j.bmcl.2018.12.047,publisher,True,Parallel synthesis of a bis-triazoles library as psammaplin A analogues: A new wave of antibiofilm compounds?,2019-02-01,2019.0,journal-article,False,0960-894X,Bioorganic & Medicinal Chemistry Letters,Elsevier BV,,Medical research
10.1016/j.jcrysgro.2018.12.005,repository,True,Heterogeneous twinning during directional solidification of multi-crystalline silicon,2019-02-01,2019.0,journal-article,False,0022-0248,Journal of Crystal Growth,Elsevier BV,HAL,"Physical sciences, Astronomy"
